Author_Name,Author_Biography,Source,Publications
"ADKINS, WALTER ROBERTS, JR, 1921-2011",";</strong></p>
<p>U.S. Army officer.  Born&#8211;September 21, 1921, Montevallo.  Parents&#8211; Walter R. and Clara E. Adkins.  Married&#8211; Jacquelyn Boyette.  Education&#8211; U. S. Military Academy, graduated 1945; University of Alabama, M. A., 1956; Ph. D., 1981.  United States Army, 1945-1975; served in World War II, the Korean conflict, and the Vietnam War; retired with the rank of Colonel, 1975.  Member Rotary Club, Cattlemen&#8217;s Association.  Awarded several military medals, including the Gallantry Cross with Gold Star and the Legion of Merit.  Died December 4, 2011.</p>
<p>","s; </strong></p>
<p>Sammie Cockrell [nephew of Walter R. Roberts]</p>
<p>Obituary, Birmingham News, December 6, 2011.</p>
<p>","s;</strong></p>
<p>Political Development of the Trust Territory of the Pacific Islands.  M. A. Thesis, University of Alabama, 1956.</p>
<p>Organizational Tolerance of Creativity and Innovation; A Comparative Study of Military Organizations.  Ph. D. dissertation, University of Alabama, 1981.</p>
<p>Struggling into War.  AuthorHouse, 2006.</p>
<p>Walking Home from Rock Island. AuthorHouse, 2003.</p>

				</div>

				"
"AGEE, RUCKER, 1897-1985",":</strong></p>
<p>Investment banker; historian; civic leader. Born&#8211; October 22, 1897, Birmingham. Parents&#8211; Walter Claybrook and Louise (Rucker) Agee. Married&#8211; Margaret Dixon Minge, March 27, 1927. Children&#8211; Two. Education&#8211; University of Alabama, B.S., 1919. U.S. Army, WWI. A principal in the investment securities firm Sterne, Agee and Leach, Inc. from 1919.  Member and leader of many state and local civic, educational and charitable organizations in Alabama, including the Birmingham Area Chamber of Commerce, the Boy Scouts of America, and Children&#8217;s Hospital of Alabama. Active in research and preservation of regional and local history and culture. Amassed an outstanding collection of more than 600 maps and atlases, which he donated to the Birmingham Public Library, and a library of Southern History, which he donated to the Hoole Special Collections Library at the University of Alabama. Member Alabama Historical Association; president, 1951-52; and many other local and regional historical groups; a trustee of the Alabama Department of Archives and History.  Honors&#8211; elected to Alabama Academy of Honor, 1975; LL.D., University of Alabama, 1981; Special Award from the Alabama Library Association, 1977; Award of Merit, American Association of State and Local History; Distinguished Service Award, Alabama Historical Commission; Silver Beaver Award, Boy Scouts of America. Died November 1, 1985.</p>
<p>","s:</strong></p>
<p>Alabama Academy of Honor website</p>
<p>bhamwiki</p>
<p>Birmingham Historical Society Newsletter, November 2002.</p>
<p>Who&#8217;s Who in Alabama, Vol. 2.</p>
<p>","(s):</strong></p>
<p>An Exhibit in Commemoration of the 400th Anniversary of Publication by Abraham Ortelius of Theatrum Orbis Terrarum, the World&#8217;s First Atlas. Birmingham, Ala.; s.n., 1970.</p>
<p>Forrest-Streight Campaign of 1863, Preliminary Report. Milwaukee; s.n., 1958.</p>
<p>Let&#8217;s Keep the Record Straight; a Vaudeville of Historical Incidents. Birmingham, Ala.; s.n., 1963.</p>
<p>Twenty Alabama Books. Miami, Fla.; E. A. Seemann, 1975.</p>
<p><strong>Compiler:</strong></p>
<p>Early Mapping of Alabama. Montevallo, Ala.; s.n., 1957.</p>
<p>Maps of Alabama; the Evaluation of the State Exhibits in Printed Maps from the Age of Discovery; a Preliminary Catalogue. Birmingham, Ala.; s.n., 1955.</p>

				</div>

				"
"AHERN, EMILY MARTIN",":</strong></p>
<p>Writer; civic leader. Born&#8211;August 9, 1914,  Chattanooga. Parents&#8211; Benjamin Arthur and Janey Lee (Pickel) Boone. Married&#8211; William Craig Aiken, April 16, 1938. Children&#8211; Two. Education&#8211; McKenzie Business College, Bob Jones College, and Auburn University. Worked for Dixie Foundry Company in Cleveland, Tenn.; Central Alabama Electric Cooperative; correspondent for the Montgomery Advertiser, United Press International, the Prattville Progress, the REA News, and the Birmingham News. Associated with WSFA-TV in Montgomery, 1954-1979. Member of the Prattville Planning Commission; Prattville Service League, Alabama Historical Association, the National Writers Club, National Press Photographers Association, Alabama Women&#8217;s Press Association, Lee County Historical Society, Daughters of the American Revolution, Autauga County Heritage Association, and Auburn Heritage Association; charter member and chairman of the Prattville Community Girl Scouts committee.  Died December 16, 2001.</p>
<p>",":</strong></p>
<p>The Library of Alabama Lives; Who&#8217;s Who in the South and Southwest, 1982.</p>
<p>","(s):</strong></p>
<p>Will Howard Smith and McQueen Smith Farms. Prattville, Ala.; s.n., 1971.</p>

				</div>

				"
"AIKEN, BOONE",":</strong></p>
<p>Writer; civic leader. Born&#8211;August 9, 1914,  Chattanooga. Parents&#8211; Benjamin Arthur and Janey Lee (Pickel) Boone. Married&#8211; William Craig Aiken, April 16, 1938. Children&#8211; Two. Education&#8211; McKenzie Business College, Bob Jones College, and Auburn University. Worked for Dixie Foundry Company in Cleveland, Tenn.; Central Alabama Electric Cooperative; correspondent for the Montgomery Advertiser, United Press International, the Prattville Progress, the REA News, and the Birmingham News. Associated with WSFA-TV in Montgomery, 1954-1979. Member of the Prattville Planning Commission; Prattville Service League, Alabama Historical Association, the National Writers Club, National Press Photographers Association, Alabama Women&#8217;s Press Association, Lee County Historical Society, Daughters of the American Revolution, Autauga County Heritage Association, and Auburn Heritage Association; charter member and chairman of the Prattville Community Girl Scouts committee.  Died December 16, 2001.</p>
<p>",":</strong></p>
<p>The Library of Alabama Lives; Who&#8217;s Who in the South and Southwest, 1982.</p>
<p>","(s):</strong></p>
<p>Will Howard Smith and McQueen Smith Farms. Prattville, Ala.; s.n., 1971.</p>

				</div>

				"
"AIKEN, ELlZABETH BOONE, 1914-2001",":</strong></p>
<p>Writer; civic leader. Born&#8211;August 9, 1914,  Chattanooga. Parents&#8211; Benjamin Arthur and Janey Lee (Pickel) Boone. Married&#8211; William Craig Aiken, April 16, 1938. Children&#8211; Two. Education&#8211; McKenzie Business College, Bob Jones College, and Auburn University. Worked for Dixie Foundry Company in Cleveland, Tenn.; Central Alabama Electric Cooperative; correspondent for the Montgomery Advertiser, United Press International, the Prattville Progress, the REA News, and the Birmingham News. Associated with WSFA-TV in Montgomery, 1954-1979. Member of the Prattville Planning Commission; Prattville Service League, Alabama Historical Association, the National Writers Club, National Press Photographers Association, Alabama Women&#8217;s Press Association, Lee County Historical Society, Daughters of the American Revolution, Autauga County Heritage Association, and Auburn Heritage Association; charter member and chairman of the Prattville Community Girl Scouts committee.  Died December 16, 2001.</p>
<p>",":</strong></p>
<p>The Library of Alabama Lives; Who&#8217;s Who in the South and Southwest, 1982.</p>
<p>","(s):</strong></p>
<p>Will Howard Smith and McQueen Smith Farms. Prattville, Ala.; s.n., 1971.</p>

				</div>

				"
"AINSWORTH, CHARLES HAROLD, 1935-",":</strong></p>
<p>Anthropologist; college professor. Born&#8211; April 1, 1935, Shreveport, Louisiana. Parents&#8211;Ottis W. and Fern Clark Ainsworth. Married&#8211; Winnie Tew, January 20, 1964.   Children&#8211; Three. Education&#8211; Northwestern State University, A.B., 1959, M.A., 1964; University of Alabama, Ed.D., 1975; University of Washington, Ph.D., 1982. Served as Latter Day Saints missionary to Brazil, 1959 to 1962; grade school teacher in New Orleans, 1964; chaplain in the U.S. Army, 1964-1965; instructor at the University of Alabama-Birmingham, 1965-1968;  University of Montevallo, 1968-1978; University of Washington, 1978-1980, and the University of Idaho after 1980. Member of the American Anthropological Society and the Mormon Historical Association.</p>
<p>",":</strong></p>
<p>Contemporary Authors online; International Authors and Writers Who&#8217;s Who, 8th ed.; files at the library at the University of Montevallo.</p>
<p>","(s):</strong></p>
<p>Barriers and Stimulants to Change Among the Ute Indians.  University of Montevallo, 1974.</p>
<p>Ute Indian Culture; From Tradition to the Reservation.  University of Montevallo, 1974.</p>
<p><strong>Editor;</strong></p>
<p>Selected Readings for Introductory Anthropology. New York; MSS Information Corp., 1974.</p>
<p>Selected Readings for Marriage and the Family. New York; MSS Information Corp., 1973.</p>
<p>Perspectives for Introductory Sociology. Montevallo, Ala.; Author, 1975.</p>

				</div>

				"
"AKEN, ELIZABETH BOONE",":</strong></p>
<p>Writer, editor, publisher. Born&#8211; April 16, 1921, Lost Creek, Ky. Parents&#8211; Claude Neuman and Nellie Geneva (Strode) Akens. Married&#8211; Helen Morgan, August 21, 1953. Education&#8211; University of Miami, A.B., 1951; University of Alabama, M.A., 1956. Served in the U.S. Army Air Force, 1943-1946. Taught in Lost Creek, Ky., 1947-1949; edited Benham Magazine for International Harvester Company, 1949-1950; worked as freelance author, 1955-1957; Head of the Historical Department of the Marshall Space Flight Center during the 1960&#8217;s and 70&#8217;s; and head of Strode Publishers after 1957. Honors&#8211; Strode Publishers received 1976 Special Award for outstanding publishing from Alabama Library Association. Member of the American Booksellers Association and Huntsville Chamber of Commerce. Died September 15, 2012.</p>
<p>",":</strong></p>
<p>Contemporary Authors online; Who&#8217;s Who in America, 1980.</p>
<p>","(s):</strong></p>
<p>The Alabama Last Laugh Joke Book. Huntsville, Ala.; Strode, 1979.</p>
<p>Auburn Last Laugh Joke Book. Huntsville, Ala.; Strode, 1979.</p>
<p>Best Basketball Booster. Huntsville, Ala.; Strode, 1974.</p>
<p>Death of a Transplant. Huntsville, Ala.; Strode, 1971.</p>
<p>Full-Time Football. Strode, 1972.</p>
<p>Historical Chronology of the NASA Marshall Center and MSFC Programs 1960-1973. Washington, D.C.; U.S. National Aeronautics and Space Administration, 1976.</p>
<p>Historical Origins of the George C. Marshall Space Flight Center. Huntsville, Ala.; Historical Office, Office of Management Services, George C. Marshall Space Flight Center, U.S. National Aeronautics and Space Administration, 1960.</p>
<p>How to Get a Manuscript Published.  Strode, 1983.</p>
<p>How to Write Everything Better and Get It Published.  Circle Book Service, 1995.</p>
<p>John Glenn; First American in Orbit. Huntsville, Ala.; Strode, 1965.</p>
<p>Loss of Hearing and You. Huntsville, Ala.; Strode, 1970.</p>
<p>A Picture History; Rockets and Rocketry. Huntsville, Ala.; Strode, 1962.</p>
<p>Rocket City, U.S.A. Huntsville, Ala.; Strode, 1959.</p>
<p>Rockets and Rocketry; a Picture History. 2d. ed. Huntsville, Ala.; Strode, 1964.</p>
<p>Saturn Illustrated Chronology. Huntsville, Ala.; Historical Office, George C. Marshall Space Flight Center, 1973.</p>
<p>University Jokes Told with Class.  Strode, 1982.</p>
<p>University of North Carolina Last Laugh Joke Book. Huntsville, Ala.; Strode, 1981.</p>
<p>World&#8217;s Greatest Leaders; the Akens Book of Supernatural Records. Huntsville, Ala.; Strode, 1980.</p>
<p>Skylab Illustrated Chronology, 1962-73. Huntsville, Ala.; George C. Marshall Space Flight Center, 1973.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Hearing Help. Huntsville, Ala.; Strode, 1979.</p>
<p><strong>Written_under_name_of_S.C._(Stonewall Culpepper)_Lee</strong></p>
<p>Full Time Player. Huntsville, Ala; Strode, 1971.</p>
<p>Little League Leader. Huntsville, Ala.; Strode, 1974.</p>
<p>Young Bear; the Legend of Bear Bryant&#8217;s Boyhood. Huntsville, Ala.; Strode, 1977.</p>
<p>Death of a Transplant. Huntsville, Ala.; Strode Publications, 1971.</p>
<p>The Untitled Mystery. Tomball, Tex.; Circle Book Service, 1987</p>

				</div>

				"
"AKENS, DAVID STRODE, 1921-2012",":</strong></p>
<p>Writer, editor, publisher. Born&#8211; April 16, 1921, Lost Creek, Ky. Parents&#8211; Claude Neuman and Nellie Geneva (Strode) Akens. Married&#8211; Helen Morgan, August 21, 1953. Education&#8211; University of Miami, A.B., 1951; University of Alabama, M.A., 1956. Served in the U.S. Army Air Force, 1943-1946. Taught in Lost Creek, Ky., 1947-1949; edited Benham Magazine for International Harvester Company, 1949-1950; worked as freelance author, 1955-1957; Head of the Historical Department of the Marshall Space Flight Center during the 1960&#8217;s and 70&#8217;s; and head of Strode Publishers after 1957. Honors&#8211; Strode Publishers received 1976 Special Award for outstanding publishing from Alabama Library Association. Member of the American Booksellers Association and Huntsville Chamber of Commerce. Died September 15, 2012.</p>
<p>",":</strong></p>
<p>Contemporary Authors online; Who&#8217;s Who in America, 1980.</p>
<p>","(s):</strong></p>
<p>The Alabama Last Laugh Joke Book. Huntsville, Ala.; Strode, 1979.</p>
<p>Auburn Last Laugh Joke Book. Huntsville, Ala.; Strode, 1979.</p>
<p>Best Basketball Booster. Huntsville, Ala.; Strode, 1974.</p>
<p>Death of a Transplant. Huntsville, Ala.; Strode, 1971.</p>
<p>Full-Time Football. Strode, 1972.</p>
<p>Historical Chronology of the NASA Marshall Center and MSFC Programs 1960-1973. Washington, D.C.; U.S. National Aeronautics and Space Administration, 1976.</p>
<p>Historical Origins of the George C. Marshall Space Flight Center. Huntsville, Ala.; Historical Office, Office of Management Services, George C. Marshall Space Flight Center, U.S. National Aeronautics and Space Administration, 1960.</p>
<p>How to Get a Manuscript Published.  Strode, 1983.</p>
<p>How to Write Everything Better and Get It Published.  Circle Book Service, 1995.</p>
<p>John Glenn; First American in Orbit. Huntsville, Ala.; Strode, 1965.</p>
<p>Loss of Hearing and You. Huntsville, Ala.; Strode, 1970.</p>
<p>A Picture History; Rockets and Rocketry. Huntsville, Ala.; Strode, 1962.</p>
<p>Rocket City, U.S.A. Huntsville, Ala.; Strode, 1959.</p>
<p>Rockets and Rocketry; a Picture History. 2d. ed. Huntsville, Ala.; Strode, 1964.</p>
<p>Saturn Illustrated Chronology. Huntsville, Ala.; Historical Office, George C. Marshall Space Flight Center, 1973.</p>
<p>University Jokes Told with Class.  Strode, 1982.</p>
<p>University of North Carolina Last Laugh Joke Book. Huntsville, Ala.; Strode, 1981.</p>
<p>World&#8217;s Greatest Leaders; the Akens Book of Supernatural Records. Huntsville, Ala.; Strode, 1980.</p>
<p>Skylab Illustrated Chronology, 1962-73. Huntsville, Ala.; George C. Marshall Space Flight Center, 1973.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Hearing Help. Huntsville, Ala.; Strode, 1979.</p>
<p><strong>Written_under_name_of_S.C._(Stonewall Culpepper)_Lee</strong></p>
<p>Full Time Player. Huntsville, Ala; Strode, 1971.</p>
<p>Little League Leader. Huntsville, Ala.; Strode, 1974.</p>
<p>Young Bear; the Legend of Bear Bryant&#8217;s Boyhood. Huntsville, Ala.; Strode, 1977.</p>
<p>Death of a Transplant. Huntsville, Ala.; Strode Publications, 1971.</p>
<p>The Untitled Mystery. Tomball, Tex.; Circle Book Service, 1987</p>

				</div>

				"
"AKENS, HELEN MORGAN, 1918-2012",":</strong></p>
<p>Writer; College instructor. Born&#8211; Sunny South, Ala., August 6, 1918.  Parents&#8211; James Martin and Katherine Morgan. Married&#8211; David Strode Akens, August 21, 1953. Education&#8211; University of Montevallo, A.B.; University of Alabama, M.A., 1956; attended American University in Washington, D.C. Taught at Huntingdon College, Athens College and the University of Montevallo; served as Dean of Women at Athens College. With her husband founded Strode Publishers. Wrote a regular column for the Clarke County Democrat and for the Mobile Press Register. One short story appeared in Alabama Prize Stories, 1970. Died June 9, 2012.</p>
<p>",":</strong></p>
<p>Who&#8217;s Who in Alabama, Vol. 3; Obituary, Huntsville Times, June 11, 2012.</p>
<p>","(s):</strong></p>
<p>Alabama, Mounds to Missiles. Huntsville, Ala.; Strode, 1962.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Alabama Heritage. Huntsville, Ala.; Strode, 1962.</p>

				</div>

				"
"AKIN, EUGENIA THOMPSON, 1903-1996",":</strong></p>
<p>Civic leader; volunteer. Born&#8211; October 7, 1903. Parents&#8211; R. DuPont and Maude (Massey) Thompson. Education&#8211; Agnes Scott College. Married&#8211; John M. Akin, Sr. Children&#8211; Three. Worked as Parent Education Chairman of the Birmingham PTA Council; taught English to internationals at Southside Baptist Church in Birmingham. Member of the Alabama Writers Conclave and of the Methodist Church. Died February 15, 1996.</p>
<p>",":</strong></p>
<p>Bull Frog Bend.</p>
<p>","(s):</strong></p>
<p>Bull Frog Bend; Echoes from Turkey Creek in Jefferson County, Alabama. Birmingham, Ala.; Jefferson County Historical Society, 1978.</p>

				</div>

				"
Alabama Authors › Create New Post — WordPress,";</strong></p>
<p>Writer; teacher of writing.  Born&#8211;Lima, Peru, 1977.  Moved to Birmingham at the age of three.  Married&#8211; Carolina Guerreo. Children&#8211; two.  Education&#8211; Indian Springs School; Columbia University, B.A. in anthropology, 1999; Iowa Writers&#8217; Workshop, M. F. A., 2003.  Author of short stories published in <em>The New Yorker </em>and other periodicals; visiting scholar/writer at several institutions including Mills College, UCBerkeley, California College of the Arts and the Headlands Center for the Arts. Fellow of the UCBerkeley School of Journalism.  PEN/Hemingway Foundation Award, 2006; Guggenheim Fellowship, 2008; Alabama Library Association Award for Fiction, 2008.  Co-founded the podcast <em>Radio Ambulante</em>, broadcast in several countries.</p>
<p>","s;</strong></p>
<p>&#8220;Daniel Alarcon:  Writing North, Pointing South,&#8221; <em>Washington Post, </em>July 23, 2006.</p>
<p>","s:</strong></p>
<p>At Night We Walk in Circles.  Riverhead Books, 2013.</p>
<p>Ciudad de Paxasous.  Lima, Peru:  Alfaguara, 2010.</p>
<p>Lost City Radio.  Harper, 2007.</p>
<p>The Secret Miracle:  The Novelist&#8217;s Handbook.  Henry Holt, 2010.</p>
<p>War by Candlelight:  Stories.  Harper, 2006.</p>

				</div>

				"
Alabama Authors › Create New Post — WordPress,";</strong></p>
<p>Writer; teacher of writing.  Born&#8211;Lima, Peru, 1977.  Moved to Birmingham at the age of three.  Married&#8211; Carolina Guerreo. Children&#8211; two.  Education&#8211; Indian Springs School; Columbia University, B.A. in anthropology, 1999; Iowa Writers&#8217; Workshop, M. F. A., 2003.  Author of short stories published in <em>The New Yorker </em>and other periodicals; visiting scholar/writer at several institutions including Mills College, UCBerkeley, California College of the Arts and the Headlands Center for the Arts. Fellow of the UCBerkeley School of Journalism.  PEN/Hemingway Foundation Award, 2006; Guggenheim Fellowship, 2008; Alabama Library Association Award for Fiction, 2008.  Co-founded the podcast <em>Radio Ambulante</em>, broadcast in several countries.</p>
<p>","s;</strong></p>
<p>&#8220;Daniel Alarcon:  Writing North, Pointing South,&#8221; <em>Washington Post, </em>July 23, 2006.</p>
<p>","s:</strong></p>
<p>At Night We Walk in Circles.  Riverhead Books, 2013.</p>
<p>Ciudad de Paxasous.  Lima, Peru:  Alfaguara, 2010.</p>
<p>Lost City Radio.  Harper, 2007.</p>
<p>The Secret Miracle:  The Novelist&#8217;s Handbook.  Henry Holt, 2010.</p>
<p>War by Candlelight:  Stories.  Harper, 2006.</p>

				</div>

				"
